Date,Latitude,Longitude,CD1  (/km^2),CD2  (/km^2),CD3  (/km^2),CD4  (/km^2),WD1 (g/km^2) ,WD2 (g/km^2) ,WD3 (g/km^2) ,WD4 (g/km^2) ,Sea State,Source,Info,Comments,
13/01/2010,25.5607,-62.4387,428395.48,132757.97,119370.62,,15.62,837.83,25752.82,,2,M. Eriksen,NAG10-SM013,,
14/01/2010,26.0914,-61.7168,0.00,2111.27,351.88,,0.00,4.52,8.45,,4.5,M. Eriksen,NAG10-SM014,,
15/01/2010,29.249,-62.9857,4682.38,14983.63,1560.79,,0.61,86.00,105.82,,2.5,M. Eriksen,NAG10-SM015,,
15/01/2010,29.7453,-63.2167,3020.74,35544.01,3725.58,,0.41,165.27,613.71,,2,M. Eriksen,NAG10-SM016,,
16/01/2010,30.5477,-63.7064,31985.11,157152.30,4991.90,,8.10,778.18,599.95,,2,M. Eriksen,NAG10-SM017,,
17/01/2010,31.1813,-64.0147,1173.82,10137.53,1814.08,,0.45,47.17,101.16,,2.5,M. Eriksen,NAG10-SM018,,
17/01/2010,31.535,-64.2677,9953.75,31224.77,2590.70,,1.50,135.67,67.49,,2,M. Eriksen,NAG10-SM019,,
18/01/2010,31.9644,-64.5448,4082.42,24984.39,2776.04,,0.65,154.97,1465.26,,2,M. Eriksen,NAG10-SM020,,
28/01/2010,32.32,-64.4322,6826.00,37944.54,4818.35,,1.20,287.29,307.97,,2,M. Eriksen,NAG10-SM021,,
28/01/2010,32.079,-64.6316,0.00,52359.45,3272.47,,0.00,449.15,175.08,,2.5,M. Eriksen,NAG10-SM022,,
29/01/2010,31.5865,-62.7727,2757.70,29685.78,811.09,,0.45,209.89,50.94,,2.5,M. Eriksen,NAG10-SM023,,
29/01/2010,31.2001,-62.0368,0.00,14085.83,2134.22,,0.00,109.54,90.92,,2.5,M. Eriksen,NAG10-SM024,,
30/01/2010,30.8735,-61.3126,5454.11,85973.98,7032.93,,1.18,505.72,701.43,,2.5,M. Eriksen,NAG10-SM025,,
31/01/2010,30.073,-58.7081,3346.84,40533.95,5454.11,,0.47,187.16,193.50,,2,M. Eriksen,NAG10-SM026,,
31/01/2010,30.073,-58.7081,619.79,2107.27,371.87,,0.74,25.54,14.50,,1.5,M. Eriksen,NAG10-SM027,,
1/2/2010,29.6835,-56.6993,434.88,4566.23,543.60,,0.13,33.59,93.72,,3,M. Eriksen,NAG10-SM028,,
2/2/2010,29.5392,-54.9628,2727.05,64494.84,2999.76,,0.88,288.80,103.36,,2,M. Eriksen,NAG10-SM029,,
2/2/2010,29.2797,-53.6117,31002.30,36799.48,1638.33,,5.83,79.27,279.40,,1.5,M. Eriksen,NAG10-SM030,,
3/2/2010,28.907,-51.8931,2680.58,27452.85,1756.24,,0.63,139.67,35.77,,1.5,M. Eriksen,NAG10-SM031,,
3/2/2010,28.7729,-51.0777,43126.42,99927.07,4558.08,,9.47,341.92,134.99,,3,M. Eriksen,NAG10-SM032,,
3/2/2010,28.5522,-50.1026,1431.70,26997.84,1636.23,,0.78,268.53,205.55,,3,M. Eriksen,NAG10-SM033,,
9/2/2010,35.6729,-35.0237,3151.26,8241.76,0.00,,0.44,56.72,0.00,,3,M. Eriksen,NAG10-SM034,,
9/2/2010,36.2937,-33.3888,1163.54,19198.46,3781.52,,0.23,154.54,214.24,,2.5,M. Eriksen,NAG10-SM035,35,
28/08/2010,-23.4996,-39.2757,13612.36,9487.40,2681.22,,1.69,20.01,19.86,,3,M. Eriksen,SAG10-1,,
29/08/2010,-23.729,-37.4867,2142.69,3116.63,0.00,,0.53,23.76,0.00,,3,M. Eriksen,SAG10-2,,
29/08/2010,-23.8868,-36.6933,1080.87,6330.82,154.41,,0.19,61.13,1.85,,3,M. Eriksen,SAG10-3,,
30/08/2010,-24.1104,-33.9573,17251.58,21520.02,1244.96,,1.60,126.81,4.62,,2,M. Eriksen,SAG10-4,,
31/08/2010,-23.0308,-30.8532,8264.64,16028.40,0.00,,0.93,104.94,0.00,,3,M. Eriksen,SAG10-5,,
1/9/2010,-22.297,-29.2472,1051.23,2803.27,1051.23,,0.70,22.43,89.00,,5,M. Eriksen,SAG10-6,,
2/9/2010,-20.8268,-28.2509,1313.45,2189.08,0.00,,0.04,10.95,0.00,,4,M. Eriksen,SAG10-7,,
2/9/2010,-19.7983,-27.3385,1868.85,4360.64,0.00,,0.31,18.94,0.00,,3,M. Eriksen,SAG10-8,,
3/9/2010,-18.615,-26.1638,194.67,584.01,0.00,,0.02,1.95,0.00,,3,M. Eriksen,SAG10-9,,
3/9/2010,-17.887,-25.086,1816.80,0.00,0.00,,1.09,0.00,0.00,,3,M. Eriksen,SAG10-10,,
4/9/2010,-16.9837,-23.7325,1968.85,3281.42,0.00,,0.16,2.26,0.00,,4,M. Eriksen,SAG10-11,,
4/9/2010,-16.2435,-22.5333,1006.30,503.15,335.43,,0.07,3.22,4.51,,4,M. Eriksen,SAG10-12,,
5/9/2010,-13.9923,-20.739,0.00,4488.90,320.64,,0.00,20.20,43.61,,4,M. Eriksen,SAG10-13,,
10/11/2010,-26.4261,-41.0363,0.00,1973.57,845.81,,0.00,5.47,1.41,,4,M. Eriksen,SAG10-14,,
11/11/2010,-26.3881,-39.9167,363.39,5087.42,1453.55,,0.03,29.00,10.97,,4,M. Eriksen,SAG10-15,,
11/11/2010,-26.1893,-38.7646,503.15,2515.76,503.15,,0.25,11.22,25.84,,4,M. Eriksen,SAG10-16,,
12/11/2010,-26.131,-37.5873,0.00,4862.50,540.28,,0.00,31.74,57.16,,4,M. Eriksen,SAG10-17,,
12/11/2010,-25.9968,-36.4999,3400.01,8985.73,485.72,,0.31,51.56,40.53,,4,M. Eriksen,SAG10-18,,
13/11/2010,-25.8957,-35.3693,1962.29,3270.48,654.10,,0.36,6.87,11.05,,3,M. Eriksen,SAG10-19,,
13/11/2010,-25.801,-34.2127,0.00,14090.91,0.00,,0.00,84.96,0.00,,3,M. Eriksen,SAG10-20,,
14/11/2010,-25.9165,-35.0814,1206.33,6433.74,4423.19,,0.44,10.86,50.59,,3,M. Eriksen,SAG10-21,,
14/11/2010,-26.0782,-31.973,0.00,8328.91,0.00,,0.00,80.11,0.00,,3,M. Eriksen,SAG10-22,,
16/11/2010,-26.3129,-31.0914,1022.03,7767.40,817.62,,0.04,57.58,122.87,,3,M. Eriksen,SAG10-23,,
17/11/2010,-26.4893,-30.029,2289.34,9320.88,654.10,,1.99,78.03,28.29,,4,M. Eriksen,SAG10-24,,
18/11/2010,-26.7957,-29.097,473.98,1895.93,0.00,,0.33,18.84,0.00,,4,M. Eriksen,SAG10-25,,
18/11/2010,-26.6971,-28.091,137.42,2336.06,549.66,,0.12,18.36,115.29,,4,M. Eriksen,SAG10-26,,
19/11/2010,-27.3323,-26.8913,893.57,3797.69,446.79,,0.22,52.72,27.48,,5,M. Eriksen,SAG10-27,,
19/11/2010,-27.8835,-25.8982,1514.11,3677.13,216.30,,0.22,32.01,11.03,,5,M. Eriksen,SAG10-28,,
20/11/2010,-28.5773,-24.9763,268.07,3216.87,804.22,,0.03,21.71,143.42,,6,M. Eriksen,SAG10-29,,
21/11/2010,-29.5155,-24.6103,545.08,2725.40,0.00,,0.05,47.69,0.00,,6,M. Eriksen,SAG10-30,,
23/11/2010,-29.9658,-23.4819,1054.99,7121.21,527.50,,0.21,54.33,41.67,,5,M. Eriksen,SAG10-31,,
23/11/2010,-30.6643,-22.6652,0.00,2725.40,817.62,,0.00,34.07,73.04,,5,M. Eriksen,SAG10-32,,
24/11/2010,-31.2527,-21.7331,3270.48,11298.03,1189.27,,0.24,60.56,111.49,,4,M. Eriksen,SAG10-33,,
24/11/2010,-31.8705,-20.748,837.73,1809.49,368.60,,0.18,11.03,12.57,,4,M. Eriksen,SAG10-34,,
24/11/2010,-32.5913,-19.948,4769.45,37474.29,4769.45,,1.36,271.59,334.00,,2,M. Eriksen,SAG10-35,,
25/11/2010,-33.4867,-19.0997,8687.22,38325.98,4088.10,,0.72,328.63,134.91,,2,M. Eriksen,SAG10-36,,
25/11/2010,-34.0419,-18.1859,817.62,45377.96,817.62,,0.49,292.79,9.81,,2,M. Eriksen,SAG10-37,,
26/11/2010,-34.6048,-17.1887,116236.40,146897.18,17847.32,,296.54,507.05,139.12,,2,M. Eriksen,SAG10-38,,
26/11/2010,-34.333,-15.9772,11290.95,71249.82,4672.12,,2.88,358.47,137.36,,2,M. Eriksen,SAG10-39,,
27/11/2010,-34.065,-14.785,13462.04,91462.67,3167.54,,4.91,371.95,38.60,,2,M. Eriksen,SAG10-40,,
27/11/2010,-33.5729,-13.7057,24543.49,53600.73,5360.07,,4.23,160.24,26.80,,2,M. Eriksen,SAG10-41,,
27/11/2010,-33.2573,-12.4862,6813.51,19532.05,4996.57,,1.14,39.15,334.09,,2,M. Eriksen,SAG10-42,,
27/11/2010,-32.9033,-11.3745,36419.37,95534.88,527.82,,7.92,368.94,16.89,,2,M. Eriksen,SAG10-43,,
28/11/2010,-32.607,-10.2,123897.43,51918.92,37759.22,,21.24,106.20,118.00,,2,M. Eriksen,SAG10-44,,
28/11/2010,-32.3348,-9.2109,74613.49,113930.77,15637.56,,19.97,329.95,1398.94,,1,M. Eriksen,SAG10-45,,
29/11/2010,-31.6387,-8.0787,49086.98,107718.66,10908.22,,11.93,794.46,37.43,,1,M. Eriksen,SAG10-46,,
29/11/2010,-31.9295,-6.989,1855.89,14847.09,8042.17,,0.19,31.49,184.97,,1,M. Eriksen,SAG10-47,,
30/11/2010,-32.278,-5.9515,65449.31,58904.38,11453.63,,8.48,65.60,289.61,,2,M. Eriksen,SAG10-48,,
30/11/2010,-32.618,-4.8462,0.00,55189.41,3406.75,,0.00,110.58,83.19,,2,M. Eriksen,SAG10-49,,
30/11/2010,-32.835,-3.6837,1635.24,3815.56,8721.29,,0.38,20.60,94.63,,2,M. Eriksen,SAG10-50,,
1/12/2010,-33.043,-2.4258,47450.75,83993.28,6544.93,,7.53,292.72,19.63,,2,M. Eriksen,SAG10-51,,
2/12/2010,-33.2157,-1.2692,3270.48,57233.46,8176.21,,0.65,341.44,17.33,,3,M. Eriksen,SAG10-52,,
2/12/2010,-33.4173,0.0825,32704.83,138995.54,24528.63,,6.70,566.12,288.37,,2,M. Eriksen,SAG10-53,,
2/12/2010,-33.6215,1.0787,1090.16,8721.29,4905.73,,0.22,8.07,25.89,,1,M. Eriksen,SAG10-54,,
3/12/2010,-33.82,2.264,29434.35,63229.35,8721.29,,5.01,257.88,63.28,,1,M. Eriksen,SAG10-55,,
3/12/2010,-34.0253,3.4618,1635.24,15262.26,0.00,,1.64,97.02,0.00,,3,M. Eriksen,SAG10-56,,
4/12/2010,-34.1586,4.8587,0.00,13030.83,3066.08,,0.00,157.06,91.83,,4,M. Eriksen,SAG10-57,,
4/12/2010,-34.3584,6.2549,19089.38,59995.20,2727.05,,5.32,259.07,35.45,,4,M. Eriksen,SAG10-58,,
5/12/2010,-34.3065,7.1063,0.00,17442.58,0.00,,0.00,101.49,0.00,,3,M. Eriksen,SAG10-59,,
5/12/2010,-34.0162,9.7782,2180.32,4360.64,0.00,,0.87,34.99,0.00,,3,M. Eriksen,SAG10-60,,
6/12/2010,-33.7817,11.3967,54508.06,80275.50,8919.50,,12.78,903.35,125.86,,4,M. Eriksen,SAG10-61,,
15/01/2011,-17.7225,-5.9518,0.00,8657.16,1923.81,,0.00,8.18,1.92,,3,M. Eriksen,SAG11-1,,
15/01/2011,-19.1813,-5.9712,1923.81,961.91,480.95,,0.96,3.37,2.40,,3,M. Eriksen,SAG11-2,,
16/01/2011,-20.8803,-5.9975,0.00,3692.48,263.75,,0.00,17.41,44.31,,3,M. Eriksen,SAG11-3,,
17/01/2011,-22.5407,-6.1887,2336.06,11346.57,1001.17,,0.33,81.06,73.09,,1,M. Eriksen,SAG11-4,,
17/01/2011,-23.8528,-6.3298,9386.58,8645.54,0.00,,2.22,16.06,0.00,,1,M. Eriksen,SAG11-5,,
17/01/2011,-24.3825,-7.267,19798.89,28598.40,2566.52,,2.57,107.43,34.83,,0,M. Eriksen,SAG11-6,,
18/01/2011,-24.9143,-8.2032,25126.88,33502.51,1994.20,,4.39,108.88,264.83,,0,M. Eriksen,SAG11-7,,
18/01/2011,-25.3823,-9.2272,35430.24,34651.55,10122.92,,8.57,41.66,52.56,,2,M. Eriksen,SAG11-8,,
18/01/2011,-25.8243,-10.2767,204626.19,245286.25,30937.00,,34.03,380.97,236.45,,1,M. Eriksen,SAG11-9,,
19/01/2011,-26.2905,-11.288,45604.35,42021.15,2605.96,,5.54,57.33,17.59,,2,M. Eriksen,SAG11-10,,
19/01/2011,-26.8388,-12.2565,18937.54,34568.53,3607.15,,5.41,101.90,76.95,,2,M. Eriksen,SAG11-11,,
20/01/2011,-27.222,-13.266,5946.33,17839.00,495.53,,1.49,77.80,41.62,,3,M. Eriksen,SAG11-12,,
20/01/2011,-27.6412,-14.3013,88575.59,147823.48,17478.13,,16.89,467.76,843.10,,1,M. Eriksen,SAG11-13,,
20/01/2011,-28.032,-15.3368,29236.14,45093.03,3964.22,,5.45,279.48,229.92,,1,M. Eriksen,SAG11-14,,
21/01/2011,-28.3865,-16.3898,17885.46,47268.70,4258.44,,5.20,150.32,692.00,,3,M. Eriksen,SAG11-15,,
21/01/2011,-28.832,-17.443,70126.71,73585.88,13207.72,,12.26,227.68,120.44,,3,M. Eriksen,SAG11-16,,
22/01/2011,-29.1203,-18.5112,22192.57,41757.06,3504.09,,5.26,234.77,145.71,,2,M. Eriksen,SAG11-17,,
22/01/2011,-29.5068,-19.5708,31239.29,63249.91,7713.40,,8.41,214.43,40.11,,2,M. Eriksen,SAG11-18,,
22/01/2011,-29.9482,-20.712,21597.53,65178.27,5785.05,,5.40,281.92,366.00,,2,M. Eriksen,SAG11-19,,
23/01/2011,-30.2798,-21.833,51047.23,63160.13,7786.87,,9.08,158.33,665.78,,2,M. Eriksen,SAG11-20,,
23/01/2011,-30.5678,-22.9272,138304.02,119185.53,17491.39,,21.15,292.88,163.93,,1,M. Eriksen,SAG11-21,,
23/01/2011,-30.896,-24.0645,211384.90,167844.93,43539.97,,30.91,273.87,169.51,,1,M. Eriksen,SAG11-22,,
24/01/2011,-31.1353,-25.223,173744.43,193855.26,10549.95,,21.43,287.49,60.99,,2,M. Eriksen,SAG11-23,,
24/01/2011,-31.4843,-26.3197,24186.85,24186.85,2366.11,,2.63,58.36,31.55,,3,M. Eriksen,SAG11-24,,
25/01/2011,-31.6642,-27.5227,96946.47,84682.16,18396.47,,13.72,307.16,101.62,,2,M. Eriksen,SAG11-25,,
25/01/2011,-31.94,-28.6897,47474.76,42199.79,0.00,,8.44,88.14,0.00,,1,M. Eriksen,SAG11-26,,
26/01/2011,-32.4768,-29.7142,82179.24,90939.46,21274.83,,11.14,234.44,163.11,,2,M. Eriksen,SAG11-27,,
26/01/2011,-32.831,-30.8133,23506.60,30660.78,2725.40,,3.75,65.07,209.52,,3,M. Eriksen,SAG11-28,,
27/01/2011,-33.2383,-32.0515,26607.32,36030.75,1940.12,,4.43,138.03,185.14,,4,M. Eriksen,SAG11-29,,
27/01/2011,-33.4538,-33.1737,20849.33,29025.54,4496.91,,3.03,87.89,150.85,,4,M. Eriksen,SAG11-30,,
27/01/2011,-33.687,-34.342,7432.92,14542.66,323.17,,0.97,80.15,17.13,,5,M. Eriksen,SAG11-31,,
28/01/2011,-33.9352,-35.503,545.08,2725.40,272.54,,0.27,14.44,60.23,,5,M. Eriksen,SAG11-32,,
29/01/2011,-34.6837,-36.4507,15609.13,52773.71,0.00,,2.97,128.59,0.00,,2,M. Eriksen,SAG11-33,,
29/01/2011,-34.765,-37.5982,7472.88,11429.11,5274.97,,1.32,66.82,143.74,,3,M. Eriksen,SAG11-34,,
30/01/2011,-34.6662,-38.8243,38357.52,52993.94,10094.08,,4.90,125.72,1090.16,,2,M. Eriksen,SAG11-35,,
31/01/2011,-34.807,-40.0783,90716.98,36208.92,9733.58,,10.90,85.66,99.28,,2,M. Eriksen,SAG11-36,,
31/01/2011,-34.8687,-41.3467,85525.19,177892.40,10263.02,,10.26,370.84,51.32,,3,M. Eriksen,SAG11-37,,
31/01/2011,-34.8428,-42.5657,3303.52,8809.38,1651.76,,0.91,34.38,106.81,,2,M. Eriksen,SAG11-38,,
1/2/2011,-34.9098,-43.8572,4569.06,8176.21,1202.38,,0.96,37.75,108.94,,4,M. Eriksen,SAG11-39,,
1/2/2011,-35.082,-45.0112,29360.02,24528.63,3716.46,,4.09,47.94,66.15,,4,M. Eriksen,SAG11-40,,
2/2/2011,-34.9393,-46.2998,6813.51,5791.48,1362.70,,1.02,42.41,82.44,,3,M. Eriksen,SAG11-41,,
2/2/2011,-35.1497,-47.8308,16352.42,39129.00,2920.07,,2.34,68.33,224.85,,2,M. Eriksen,SAG11-42,,
3/2/2011,-34.7158,-49.213,4695.80,10220.26,828.67,,1.08,61.32,36.19,,2,M. Eriksen,SAG11-43,104,
16/09/2007,37.2045,-133.865,15506.45,18552.36,1107.60,,2.90,36.88,61.06,,4,C. Moore,NPG07-M001,,
16/09/2007,37.1755,-133.9495,32472.93,68218.32,14348.50,,8.84,297.77,1158.28,,4,C. Moore,NPG07-M002,,
18/09/2007,38.1515,-137.4531,118621.69,97000.01,14282.21,,13.69,88.07,3654.46,,3,C. Moore,NPG07-M004,,
20/09/2007,38.6913,-141.772,17257.50,18881.74,2436.35,,1.89,35.90,37.76,,3,C. Moore,NPG07-M005,,
20/09/2007,38.6878,-142.0264,5100.93,14353.77,1660.77,,1.87,22.04,224.67,,3,C. Moore,NPG07-M006,,
20/09/2007,38.641,-142.2665,9619.48,12488.45,928.20,,1.96,21.26,14.43,,3,C. Moore,NPG07-M007,,
21/09/2007,37.8664,-143.8151,16235.81,255134.23,11597.01,,3.71,500.30,361.83,,4,C. Moore,NPG07-M008,,
22/09/2007,36.6822,-144.8449,82044.72,391763.53,28202.87,,31.23,788.09,12882.05,,4,C. Moore,NPG07-M010,,
22/09/2007,36.5084,-145.0356,20917.25,107991.36,7296.71,,6.32,212.72,40.38,,3,C. Moore,NPG07-M012,,
24/09/2007,32.5488,-146.9627,22362.54,60773.50,7498.03,,6.04,454.99,775.32,,4,C. Moore,NPG07-M013,,
24/09/2007,32.5205,-147.2988,13741.98,61151.82,17177.48,,4.12,522.88,1100.73,,4,C. Moore,NPG07-M015,,
26/09/2007,31.5611,-152.6133,5382.34,29710.54,6028.23,,1.46,411.00,4039.99,,3.5,C. Moore,NPG07-M018,,
27/09/2007,29.4539,-153.52,2016.65,23527.53,5377.72,,0.81,289.86,494.62,,4,C. Moore,NPG07-M019,,
10/11/2007,18.8899,-155.6586,0.00,8386.43,0.00,,0.00,61.48,82.57,,4.5,C. Moore,NPG07-M020,,
10/11/2007,18.9173,-155.7009,418.09,1254.26,418.09,,0.42,1.46,0.42,,4,C. Moore,NPG07-M021,,
10/11/2007,18.9533,-155.7185,721.67,721.67,0.00,,0.24,1.92,0.00,,4.5,C. Moore,NPG07-M022,,
10/11/2007,18.1587,-155.9801,3741.20,1360.44,0.00,,2.04,6.12,0.00,,5,C. Moore,NPG07-M023,,
11/11/2007,19.2407,-155.1751,156.73,1097.09,156.73,,0.31,3.45,3.76,,3,C. Moore,NPG07-M024,,
12/11/2007,19.6952,-154.3368,221.59,2437.48,1107.94,,0.22,10.41,25.26,,3,C. Moore,NPG07-M025,,
12/11/2007,19.8499,-154.435,617.13,2879.93,411.42,,0.41,10.08,20.57,,3,C. Moore,NPG07-M026,,
12/11/2007,19.9206,-154.6866,1768.14,4641.37,1547.12,,1.11,28.75,121.56,,3,C. Moore,NPG07-M027,,
24/11/2007,19.0713,-155.4457,1590.78,3181.56,1590.78,,0.68,11.82,38.86,,3,C. Moore,NPG07-M028,,
24/11/2007,19.0051,-155.5729,14048.46,35369.07,1983.31,,2.50,128.89,31.40,,4,C. Moore,NPG07-M029,,
24/11/2007,19.3403,-156.087,26247.90,24283.77,1785.57,,5.07,26.74,572.10,,2,C. Moore,NPG07-M030,,
25/11/2007,19.8962,-155.9993,0.00,725.75,0.00,,0.00,1.27,0.00,,2,C. Moore,NPG07-M031,25,
21/01/2008,19.2901,-156.0478,5713.83,3713.99,0.00,,2.00,3.14,0.00,,3,C. Moore,NPG08-M032,,
23/01/2008,21.6509,-160.5405,2149.08,4298.16,5730.88,,0.72,66.62,10.75,,4.5,C. Moore,NPG08-M033,,
23/01/2008,21.6499,-160.5483,642.81,1285.61,0.00,,1.93,2.05,0.00,,4.5,C. Moore,NPG08-M034,,
23/01/2008,22.0117,-160.8771,719.94,2639.79,959.92,,0.60,23.16,20.64,,4,C. Moore,NPG08-M035,,
23/01/2008,22.0984,-160.9692,3428.30,20021.26,1371.32,,1.65,130.69,59.10,,3,C. Moore,NPG08-M036,,
24/01/2008,22.9567,-161.9107,719.94,3839.69,359.97,,0.36,49.44,561.80,,3.5,C. Moore,NPG08-M037,,
25/01/2008,23.5707,-164.4812,151.33,907.97,605.31,,0.23,38.29,0.83,,3.5,C. Moore,NPG08-M038,,
27/01/2008,30.1206,-165.4097,11453.63,14609.22,2337.48,,2.45,94.08,179.05,,3,C. Moore,NPG08-M039,,
27/01/2008,30.989,-165.4256,4850.14,31374.33,2121.94,,1.53,215.22,104.88,,3,C. Moore,NPG08-M040,,
28/01/2008,32.0113,-165.4,709.11,18358.04,2994.01,,0.10,136.78,378.66,,2.3,C. Moore,NPG08-M041,,
28/01/2008,32.2366,-165.914,9360.95,32678.24,2042.39,,1.74,206.83,1399.72,,3,C. Moore,NPG08-M042,,
29/01/2008,33.0283,-167.5915,29563.75,82555.38,2603.10,,7.62,770.33,7080.98,,2.5,C. Moore,NPG08-M043,,
29/01/2012,33.0118,-167.9233,30557.56,45116.39,3519.72,,5.12,202.86,1014.32,,2.5,C. Moore,NPG08-M044,,
29/01/2008,33.0136,-168.1356,14317.04,27526.21,5028.01,,3.78,88.62,392.27,,2.5,C. Moore,NPG08-M045,,
30/01/2008,32.8404,-170.0683,15427.34,7999.36,1371.32,,2.19,53.02,3126.72,,3.5,C. Moore,NPG08-M046,,
30/01/2008,32.5552,-169.6959,4249.66,22873.17,1624.87,,0.87,170.49,54.12,,4,C. Moore,NPG08-M047,,
31/01/2008,32.2592,-167.992,12399.01,121590.27,10132.52,,2.27,630.68,538.56,,2.5,C. Moore,NPG08-M048,,
1/2/2008,32.5498,-165.8103,10496.48,25661.63,4894.06,,1.77,232.66,1015.68,,3,C. Moore,NPG08-M049,,
1/2/2008,32.4721,-166.1064,0.00,20071.12,5235.94,,0.00,141.25,264.23,,3,C. Moore,NPG08-M050,,
2/2/2008,33.2827,-164.9998,287.29,17524.54,2528.13,,0.11,188.23,241.21,,2.5,C. Moore,NPG08-M051,,
3/2/2008,33.7558,-162.7216,7270.35,37593.05,4433.14,,1.01,413.35,1389.88,,5,C. Moore,NPG08-M052,,
4/2/2008,33.7601,-160.4152,21459.82,65763.97,11999.04,,5.31,284.52,170.52,,2.5,C. Moore,NPG08-M053,,
5/2/2008,34.5145,-157.8488,38094.85,97334.87,5538.02,,11.77,556.82,414.85,,2.5,C. Moore,NPG08-M054,,
6/2/2008,36.1594,-157.5585,3183.82,14725.19,1790.90,,1.39,83.38,496.48,,4,C. Moore,NPG08-M055,,
9/2/2008,35.6912,-147.6655,54395.65,136889.05,14698.82,,16.10,862.43,855.73,,2.5,C. Moore,NPG08-M056,,
10/2/2008,35.8771,-132.573,32809.88,8249.34,9561.74,,5.81,18.56,64.49,,1,C. Moore,NPG08-M057,,
14/02/2008,35.7633,-138.5103,164899.09,105488.64,17386.52,,100.41,408.52,356.49,,3.5,C. Moore,NPG08-M058,,
14/02/2008,35.7626,-138.7748,59515.24,175528.81,10559.16,,17.16,631.20,468.00,,3,C. Moore,NPG08-M059,,
13/02/2008,35.8875,-139.3993,38298.82,88357.71,14527.14,,9.25,603.35,16468.56,,3.3,C. Moore,NPG08-M060,,
13/02/2008,35.9653,-139.8182,32801.28,82038.31,7936.93,,8.16,246.99,455.23,,3,C. Moore,NPG08-M061,,
13/02/2008,36.0408,-140.3313,357243.00,235383.27,61233.00,,75.66,402.11,559.43,,2,C. Moore,NPG08-M062,,
13/02/2008,36.083,-140.7946,211557.29,238973.39,44254.33,,50.28,548.32,1137.65,,2.5,C. Moore,NPG08-M063,,
12/2/2008,35.8409,-140.8203,300585.87,350139.78,49024.86,,64.78,823.72,4586.12,,2.5,C. Moore,NPG08-M064,,
12/2/2008,35.3814,-141.0245,391199.87,254744.74,41887.56,,64.52,576.80,965.02,,2,C. Moore,NPG08-M065,,
11/2/2008,35.0049,-141.4513,101533.05,272201.75,13657.73,,31.42,899.24,1811.25,,3,C. Moore,NPG08-M066,,
11/2/2008,35.9064,-141.7822,155566.98,290785.10,16380.83,,45.48,866.86,1627.40,,3,C. Moore,NPG08-M067,,
11/2/2008,34.679,-142.0756,159155.27,149652.03,16894.65,,33.71,568.84,10342.26,,4,C. Moore,NPG08-M068,37,
15/06/2009,25.107,-128.1097,14058.05,12993.04,3834.01,,3.07,7.22,32.38,,2,C. Moore,NPG09-M001,,
15/06/2009,24.2205,-128.353,2491.81,4600.27,766.71,,0.35,4.60,0.77,,2,C. Moore,NPG09-M002,,
16/06/2009,23.5677,-130.3722,4561.04,7367.83,2105.09,,0.67,7.30,9.44,,3,C. Moore,NPG09-M003,,
21/06/2009,24.6048,-146.387,1045.21,1254.26,209.04,,0.22,4.92,23.31,,5,C. Moore,NPG09-M005,,
21/06/2009,24.5445,-146.4777,1983.31,1873.13,330.55,,0.24,2.66,114.26,,5,C. Moore,NPG09-M006,,
21/06/2009,24.4147,-146.6687,210.39,1262.32,420.77,,0.11,4.73,44.60,,6,C. Moore,NPG09-M008,,
